#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090101 160803.399;11;;;;;Indetermine;0;0;WGS84;PB
20090101 174004.771;3;;;;;Indetermine;0;0;WGS84;PB
20090101 201421.742;2;;;;;Sommital;0;0;WGS84;PB
20090101 230604.771;3;;;;;Sommital;0;0;WGS84;PB
20090101 232213.142;3;;;;;Sommital;0;0;WGS84;PB
20090101 234958.742;4;;;;;Sommital;0;0;WGS84;PB
20090102 004210.828;3;;;;;Sommital;0;0;WGS84;PB
20090102 050416.142;29;;;;;Effondrement;0;0;WGS84;PB
20090102 123537.942;16;;;;;Longue Periode;0;0;WGS84;PB
20090102 230122.971;4;;;;;Indetermine;0;0;WGS84;PB
20090103 195553.0;159;;;;;Teleseisme;0;0;WGS84;PB
20090103 224541.200;121;;;;;Teleseisme;0;0;WGS84;PB
20090104 105029.114;3;;;;;Sommital;0;0;WGS84;PB
20090104 114730.571;12;;;;;Sommital;0;0;WGS84;PB
20090104 123245.685;5;;;;;Sommital;0;0;WGS84;PB
20090105 220702.257;3;;;;;Sommital;0;0;WGS84;PB
20090106 004947.485;5;;;;;Sommital;0;0;WGS84;PHC
20090106 062255.799;5;;;;;Sommital;0;0;WGS84;PHC
20090106 062904.457;21;;;;;Sommital;0;0;WGS84;PHC
20090106 075130.950;146;;;;;Effondrement;0;0;WGS84;PHC
20090106 213940.857;52;;;;;Indetermine;0;0;WGS84;PHC
20090106 214318.985;21;;;;;Indetermine;0;0;WGS84;PHC
20090107 011418.399;5;;;;;Sommital;0;0;WGS84;PHC
20090107 114310.501;48;;;;;Effondrement;0;0;WGS84;PHC
20090107 181259.857;16;;;;;Sommital;0;0;WGS84;PHC
20090108 001622.632;130;;;;;Effondrement;0;0;WGS84;PHC
20090108 021404.359;90;;;;;Effondrement;0;0;WGS84;PHC
20090108 044835.914;5;;;;;Sommital;0;0;WGS84;PHC
20090108 092248.171;8;;;;;Sommital;0;0;WGS84;PHC
20090108 093713.485;5;;;;;Sommital;0;0;WGS84;PHC
20090108 205642.942;13;;;;;Indetermine;0;0;WGS84;PHC
20090109 023226.428;25;;;;;Local;0;0;WGS84;PHC
20090109 060045.685;9;;;;;Sommital;0;0;WGS84;PHC
20090109 062310.371;4;;;;;Sommital;0;0;WGS84;PHC
20090109 064526.142;7;;;;;Sommital;0;0;WGS84;PHC
20090109 081954.828;34;;;;;Effondrement;0;0;WGS84;PHC
20090109 082327.828;18;;;;;Effondrement;0;0;WGS84;PHC
20090109 101159.942;9;;;;;Indetermine;0;0;WGS84;PHC
20090109 151925.228;10;;;;;Sommital;0;0;WGS84;PHC
20090109 192322.342;8;;;;;Sommital;0;0;WGS84;PHC
20090110 004917.885;9;;;;;Local;0;0;WGS84;PHC
20090110 080930.85;4;;;;;Sommital;0;0;WGS84;PHC
20090110 124125.228;12;;;;;Sommital;0;0;WGS84;PHC
20090111 045217.657;5;;;;;Sommital;0;0;WGS84;PHC
20090111 160008.885;4;;;;;Sommital;0;0;WGS84;PHC
20090111 210449.75;41;;;;;Effondrement;0;0;WGS84;PHC
20090112 161326.285;11;;;;;Sommital;0;0;WGS84;PHC
20090112 190648.714;4;;;;;Sommital;0;0;WGS84;PHC
20090112 191910.0;54;;;;;Effondrement;0;0;WGS84;PHC
20090113 072437.628;9;;;;;Sommital;0;0;WGS84;PB
20090113 171732.342;13;;;;;Longue Periode;0;0;WGS84;PB
20090114 101358.285;4;;;;;Sommital;0;0;WGS84;PB
20090116 121407.354;50;;;;;Effondrement;0;0;WGS84;THS
20090116 160851.917;36;;;;;Effondrement;0;0;WGS84;THS
20090116 161026.632;50;;;;;Effondrement;0;0;WGS84;THS
20090116 195603.354;14;;;;;Indetermine;0;0;WGS84;THS
20090116 195743.184;15;;;;;Indetermine;0;0;WGS84;THS
20090116 200717.933;13;;;;;Indetermine;0;0;WGS84;THS
20090117 061020.228;22;;;;;Sommital;0;0;WGS84;THS
20090117 103634.142;17;;;;;Sommital;0;0;WGS84;THS
20090117 205856.399;7;;;;;Sommital;0;0;WGS84;THS
20090118 061837.285;15;;;;;Effondrement;0;0;WGS84;PB
20090118 070957.457;27;;;;;Effondrement;0;0;WGS84;PB
20090119 064825.657;3;;;;;Sommital;0;0;WGS84;PB
20090119 120918.857;3;;;;;Sommital;0;0;WGS84;PB
20090119 221727.714;27;;;;;Sommital;0;0;WGS84;PB
20090119 224311.57;4;;;;;Sommital;0;0;WGS84;PB
20090120 043527.57;6;;;;;Sommital;0;0;WGS84;THS
20090121 012827.371;3;;;;;Sommital;0;0;WGS84;THS
20090121 013520.199;5;;;;;Sommital;0;0;WGS84;THS
20090121 064025.37;81;;;;;Indetermine;0;0;WGS84;THS
20090121 071147.800;13;;;;;Sommital;0;0;WGS84;THS
20090121 132238.171;33;;;;;Sommital;0;0;WGS84;THS
20090122 044910.114;3;;;;;Sommital;0;0;WGS84;THS
20090122 063320.114;7;;;;;Sommital;0;0;WGS84;THS
20090122 142841.771;8;;;;;Sommital;0;0;WGS84;THS
20090122 201052.257;22;;;;;Sommital;0;0;WGS84;THS
20090122 212251.257;9;;;;;Sommital;0;0;WGS84;THS
20090122 221012.971;7;;;;;Sommital;0;0;WGS84;THS
20090123 024510.942;7;;;;;Sommital;0;0;WGS84;THS
20090123 024523.657;14;;;;;Sommital;0;0;WGS84;THS
20090123 042107.685;11;;;;;Sommital;0;0;WGS84;THS
20090123 075017.600;6;;;;;Sommital;0;0;WGS84;THS
20090123 075024.171;4;;;;;Sommital;0;0;WGS84;THS
20090123 165544.0;5;;;;;Sommital;0;0;WGS84;THS
20090123 200742.0;12;;;;;Regional;0;0;WGS84;THS
20090123 210219.114;6;;;;;Sommital;0;0;WGS84;THS
20090123 221854.800;4;;;;;Sommital;0;0;WGS84;THS
20090123 231802.971;5;;;;;Sommital;0;0;WGS84;THS
20090124 015812.342;11;;;;;Sommital;0;0;WGS84;THS
20090124 033647.85;5;;;;;Sommital;0;0;WGS84;THS
20090124 035911.0;7;;;;;Sommital;0;0;WGS84;THS
20090124 080244.771;7;;;;;Sommital;0;0;WGS84;THS
20090124 080817.771;6;;;;;Sommital;0;0;WGS84;THS
20090124 080926.800;4;;;;;Sommital;0;0;WGS84;THS
20090124 164024.714;7;;;;;Sommital;0;0;WGS84;THS
20090125 175431.428;7;;;;;Sommital;0;0;WGS84;THS
20090125 180032.257;9;;;;;Sommital;0;0;WGS84;THS
20090125 181906.0;26;;;;;Sommital;0;0;WGS84;THS
20090125 191457.428;6;;;;;Sommital;0;0;WGS84;THS
20090125 225514.971;5;;;;;Sommital;0;0;WGS84;THS
20090125 235638.171;4;;;;;Sommital;0;0;WGS84;THS
20090126 000022.399;47;;;;;Sommital;0;0;WGS84;THS
20090126 002021.342;17;;;;;Sommital;0;0;WGS84;THS
20090126 010359.885;7;;;;;Sommital;0;0;WGS84;THS
20090126 101015.742;8;;;;;Sommital;0;0;WGS84;THS
20090126 120037.922;58;;;;;Effondrement;0;0;WGS84;THS
20090126 120712.64;78;;;;;Effondrement;0;0;WGS84;THS
20090126 212839.371;4;;;;;Sommital;0;0;WGS84;THS
20090127 020631.314;8;;;;;Local;0;0;WGS84;VF
20090127 052324.57;15;;;;;Sommital;0;0;WGS84;VF
20090127 054402.628;19;;;;;Sommital;0;0;WGS84;VF
20090127 061255.917;65;;;;;Effondrement;0;0;WGS84;VF
20090127 191309.828;7;;;;;Sommital;0;0;WGS84;VF
20090128 011917.644;31;;;;;Sommital;0;0;WGS84;VF
20090129 033531.514;5;;;;;Sommital;0;0;WGS84;VF
20090129 033747.514;12;;;;;Sommital;0;0;WGS84;VF
20090129 132319.828;9;;;;;Sommital;0;0;WGS84;VF
20090129 134133.800;15;;;;;Sommital;0;0;WGS84;VF
