#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20140531 223404.72;5,24;;;;;Effondrement;;0;WGS84;AP
20140531 221345.48;5,2;;;;;Effondrement;;0;WGS84;AP
20140531 214346.00;4,24;;;;;Effondrement;;0;WGS84;AP
20140531 205438.60;3,92;;;;;Sommital;;0;WGS84;VF
20140531 202844.40;4,68;;;;;Effondrement;;0;WGS84;AP
20140531 200242.32;7,32;;;;;Effondrement;;0;WGS84;VF
20140531 193931.68;3,52;;;;;Effondrement;;0;WGS84;AP
20140531 190811.84;3,8;;;;;Effondrement;;0;WGS84;AP
20140531 183220.52;5,68;;;;;Effondrement;;0;WGS84;AP
20140531 181521.76;4,4;;;;;Effondrement;;0;WGS84;AP
20140531 180852.16;6;;;;;Effondrement;;0;WGS84;AP
20140531 175719.04;6,28;;;;;Effondrement;;0;WGS84;AP
20140531 162812.28;5,68;;;;;Effondrement;;0;WGS84;AP
20140531 162317.92;5,44;;;;;Effondrement;;0;WGS84;AP
20140531 160701.40;6,68;;;;;Effondrement;;0;WGS84;AP
20140531 152259.92;5,76;;;;;Effondrement;;0;WGS84;AP
20140531 144659.24;2,72;;;;;Effondrement;;0;WGS84;AP
20140531 143654.16;5,6;;;;;Effondrement;;0;WGS84;AP
20140531 135755.24;4,24;;;;;Effondrement;;0;WGS84;AP
20140531 134708.96;4,96;;;;;Effondrement;;0;WGS84;AP
20140531 114750.80;5,88;;;;;Effondrement;;0;WGS84;AP
20140531 113500.56;5;;;;;Effondrement;;0;WGS84;AP
20140531 112633.20;6,52;;;;;Effondrement;;0;WGS84;AP
20140531 110943.76;5,96;;;;;Effondrement;;0;WGS84;AP
20140531 110803.52;5,88;;;;;Effondrement;;0;WGS84;AP
20140531 094359.72;6,16;;;;;Effondrement;;0;WGS84;AP
20140531 091029.36;6,24;;;;;Effondrement;;0;WGS84;AP
20140531 085139.44;6,48;;;;;Effondrement;;0;WGS84;AP
20140531 082138.56;5,88;;;;;Effondrement;;0;WGS84;AP
20140531 075653.52;6,12;;;;;Effondrement;;0;WGS84;AP
20140531 071951.88;20,44;;;;;Indetermine;;0;WGS84;AP
20140531 070738.60;6,56;;;;;Effondrement;;0;WGS84;AP
20140531 055655.60;4,28;;;;;Effondrement;;0;WGS84;AP
20140531 055050.56;4,12;;;;;Effondrement;;0;WGS84;AP
20140531 054155.52;6,68;;;;;Effondrement;;0;WGS84;AP
20140531 050428.32;8,68;;;;;Effondrement;;0;WGS84;AP
20140531 044429.96;5,04;;;;;Effondrement;;0;WGS84;AP
20140531 042756.52;7,08;;;;;Effondrement;;0;WGS84;AP
20140531 041914.28;7,24;;;;;Effondrement;;0;WGS84;AP
20140531 041039.88;8,44;;;;;Effondrement;;0;WGS84;AP
20140531 033928.92;4,4;;;;;Effondrement;;0;WGS84;AP
20140531 032406.16;5,72;;;;;Effondrement;;0;WGS84;AP
20140531 032130.40;4,68;;;;;Effondrement;;0;WGS84;AP
20140531 024624.76;4,28;0.44797461;55.710275;-21.24276;-1.0746094;Sommital;2014/05/31/ovpf2014kogy;1;WGS84;VF
20140531 015731.64;7,12;;;;;Effondrement;;0;WGS84;AP
20140531 012811.80;5,72;;;;;Effondrement;;0;WGS84;AP
20140531 005323.04;6,68;;;;;Effondrement;;0;WGS84;AP
20140531 002728.80;5,56;;;;;Effondrement;;0;WGS84;AP
20140531 002032.24;6,48;;;;;Effondrement;;0;WGS84;AP
20140530 235321.40;5,44;;;;;Effondrement;;0;WGS84;AP
20140530 220243.44;6,32;;;;;Effondrement;;0;WGS84;AP
20140530 185706.12;6,04;;;;;Effondrement;;0;WGS84;AP
20140530 141744.92;4,84;;;;;Effondrement;;0;WGS84;AP
20140530 125703.96;3,16;;;;;Effondrement;;0;WGS84;AP
20140530 125133.52;4;;;;;Effondrement;;0;WGS84;AP
20140530 124857.92;9,08;1.2838098;55.710636;-21.244881;-0.82636719;Sommital;2014/05/30/ovpf2014knfi;1;WGS84;AP
20140530 120224.52;6,48;;;;;Effondrement;;0;WGS84;AP
20140530 115858.28;6,32;;;;;Effondrement;;0;WGS84;AP
20140530 112000.52;6,76;;;;;Effondrement;;0;WGS84;AP
20140530 111200.00;6,24;;;;;Effondrement;;0;WGS84;AP
20140530 095923.36;9,64;;;;;Effondrement;;0;WGS84;AP
20140530 095922.88;15,16;1.0021057;55.879751;-21.337638;22.429688;Local;2014/10/16/ovpf2014kmzs;1;WGS84;VF
20140530 090252.48;6,24;;;;;Effondrement;;0;WGS84;AP
20140530 083134.32;6,72;;;;;Effondrement;;0;WGS84;AP
20140530 082517.00;6,8;;;;;Effondrement;;0;WGS84;AP
20140530 071836.56;6,52;;;;;Effondrement;;0;WGS84;AP
20140530 070024.56;7,36;;;;;Effondrement;;0;WGS84;AP
20140530 054611.40;5,04;;;;;Effondrement;;0;WGS84;AP
20140530 054327.12;3,84;6.26;55.693;-21.2293;-3;Sommital;2014/06/05/ovpf2014kmrh;0;WGS84;VF
20140530 050158.44;6;;;;;Effondrement;;0;WGS84;AP
20140530 045818.72;6,28;;;;;Effondrement;;0;WGS84;AP
20140530 030856.32;8,76;0.95912943;55.711099;-21.245327;-0.80214844;Sommital;2014/05/30/ovpf2014kmme;1;WGS84;VF
20140530 025644.36;7,76;;;;;Effondrement;;0;WGS84;VF
20140530 021337.60;6,36;;;;;Effondrement;;0;WGS84;AP
20140530 021309.08;4,96;;;;;Effondrement;;0;WGS84;AP
20140530 015635.68;5,88;;;;;Effondrement;;0;WGS84;AP
20140529 222126.76;3,64;;;;;Effondrement;;0;WGS84;VF
20140529 215300.00;6,44;;;;;Effondrement;;0;WGS84;AP
20140529 202433.00;6,4;;;;;Effondrement;;0;WGS84;AP
20140529 152656.52;4,92;;;;;Effondrement;;0;WGS84;AP
