NOM,LATITUDE,LONGITUDE,ELEV,NET,DATEDEB,HDEB,DATEFIN,HFIN
STR,48.579,7.763,0.135,STR,1962/01/22,06:50:07.00,2009/05/05,01:39:56.0
LOR,47.268,3.859,0.52,LDG,1962/01/22,06:50:55.00,2009/12/31,11:10:22.0
RSL,45.688,6.626,1.583,GRN,1962/01/22,06:50:45.00,2009/12/31,10:50:06.0
BDB,43.065,0.148,0.561,STR,1962/02/03,03:27:02.00,1970/05/31,08:14:02.0
CFFS,45.763,3.103,0,LDGS,1962/02/03,03:27:24.00,1978/02/04,20:44:58.0
GRC,47.296,3.074,0.191,LDG,1962/02/03,03:26:46.00,1992/01/04,08:41:48.0
FLN,48.763,-0.482,0.24,LDG,1962/02/03,03:26:44.00,2009/12/31,07:07:03.0
GRR,48.388,-0.858,0.22,LDG,1962/02/03,03:26:41.00,2009/12/31,10:51:06.0
WLS,48.413,7.354,0.775,STR,1962/03/01,04:50:17.00,2009/12/17,23:19:40.0
SSC,48.584,-0.108,0.3,LDG,1962/03/03,03:26:42.00,1985/07/27,18:17:07.0
SSF,47.061,3.506,0.355,LDG,1962/03/04,10:56:06.00,2009/12/31,11:10:27.0
BES,47.249,5.987,0.311,STR,1962/03/15,20:57:40.00,1973/01/06,02:08:15.0
STRS,48.585,7.766,0,LDGS,1962/04/13,13:39:04.00,1977/07/03,12:15:32.0
ISO,44.183,7.05,0.87,CDR,1962/04/13,13:38:30.00,2008/12/27,04:42:38.0
CFF,45.763,3.111,0.4,CFF,1962/04/26,04:45:21.00,2009/09/27,06:13:42.0
TCF,46.288,2.21,0.593,LDG,1962/11/30,07:26:35.00,2009/12/31,10:51:35.0
CDR,43.675,5.767,0.368,CDR,1963/03/12,10:28:29.00,2002/02/16,01:55:12.0
LRG,43.454,6.36,0.11,LDG,1963/03/19,04:40:03.00,2001/12/06,10:42:42.0
SPF,43.564,6.697,0.337,LDG,1963/07/21,03:54:55.00,1980/07/16,03:39:34.0
